,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
vs NZ Women,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
in New Zealand,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
in Oceania,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
away,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
year 2022,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
season 2022/23,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
*Nigar Sultana,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
is not captain,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
is not keeper,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
won the toss,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
won toss & batted,1,1,0,8,8,8.00,18,44.44,0,0,0,2,0
won toss & fielded,1,-,-,-,-,-,-,-,-,-,-,-,-
matches batting first,1,1,0,8,8,8.00,18,44.44,0,0,0,2,0
matches fielding first,1,-,-,-,-,-,-,-,-,-,-,-,-
1st team innings,1,1,0,8,8,8.00,18,44.44,0,0,0,2,0
1st match innings,1,1,0,8,8,8.00,18,44.44,0,0,0,2,0
no result,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
no result batting first,1,1,0,8,8,8.00,18,44.44,0,0,0,2,0
no result fielding first,1,-,-,-,-,-,-,-,-,-,-,-,-
2 team series,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
5+ team tournaments,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
2nd match in series,1,1,0,8,8,8.00,18,44.44,0,0,0,2,0
3rd match in series,1,-,-,-,-,-,-,-,-,-,-,-,-
ICC Women's Champ,2,1,0,8,8,8.00,18,44.44,0,0,0,2,0
1st position,1,1,0,8,8,8.00,18,44.44,0,0,0,2,0
